CSD Code,Census subdivision (CSD) name,2011 Income Score,2011 Education Score,2011 Housing Score,2011 Labour Force Activity Score,2011 CWB Score,2011 Global Non-Response,Province,Type of Collectivity,2011 NHS Population
3538016,Enniskillen,92,64,95,84,84,34%,Ontario,Non-Aboriginal,2930
3538019,Petrolia,86,59,97,84,82,21%,Ontario,Non-Aboriginal,5195
3538025,Sarnia 45,64,51,82,67,66,15%,Ontario,First Nation,640
3538030,Sarnia,91,62,96,82,83,19%,Ontario,Non-Aboriginal,71005
3538031,Point Edward,94,61,95,85,84,34%,Ontario,Non-Aboriginal,2035
3538035,Plympton-Wyoming,93,65,97,84,85,25%,Ontario,Non-Aboriginal,7480
3538040,Lambton Shores,92,59,97,84,83,26%,Ontario,Non-Aboriginal,10380
3538043,Warwick,84,53,98,85,80,44%,Ontario,Non-Aboriginal,3605
3538056,Kettle Point 44,62,46,79,72,65,21%,Ontario,First Nation,935
3539002,Newbury,76,46,88,89,75,18%,Ontario,Non-Aboriginal,445
3539005,Southwest Middlesex,83,57,96,84,80,29%,Ontario,Non-Aboriginal,5765
3539015,Strathroy-Caradoc,84,56,96,87,81,18%,Ontario,Non-Aboriginal,20330
3539017,Chippewas of the Thames First Nation 42,56,43,68,61,57,19%,Ontario,First Nation,805
3539018,Munsee-Delaware Nation 1,,,,,62,23%,Ontario,First Nation,170
3539027,Thames Centre,94,61,96,89,85,24%,Ontario,Non-Aboriginal,12995
3539033,Middlesex Centre,97,68,98,90,88,22%,Ontario,Non-Aboriginal,16140
3539036,London,89,66,96,85,84,24%,Ontario,Non-Aboriginal,360720
3539041,North Middlesex,86,57,95,89,82,28%,Ontario,Non-Aboriginal,6355
3539047,Adelaide-Metcalfe,84,57,94,87,80,33%,Ontario,Non-Aboriginal,3055
3539060,Lucan Biddulph,88,64,96,92,85,39%,Ontario,Non-Aboriginal,4305
3540005,South Huron,91,54,95,88,82,28%,Ontario,Non-Aboriginal,9705
3540010,Bluewater,89,55,96,90,82,38%,Ontario,Non-Aboriginal,6770
3540025,Central Huron,84,55,95,87,81,35%,Ontario,Non-Aboriginal,7575
3540028,Goderich,90,60,95,86,83,30%,Ontario,Non-Aboriginal,7290
3540040,Huron East,85,55,96,88,81,33%,Ontario,Non-Aboriginal,9040
3540046,Howick,77,44,93,91,76,44%,Ontario,Non-Aboriginal,3980
3540050,Morris-Turnberry,85,58,97,91,83,36%,Ontario,Non-Aboriginal,3120
3540055,North Huron,88,57,94,87,81,37%,Ontario,Non-Aboriginal,4860
3540063,Ashfield-Colborne-Wawanosh,85,56,93,87,80,29%,Ontario,Non-Aboriginal,5545
3541004,South Bruce,86,51,97,90,81,33%,Ontario,Non-Aboriginal,5675
3541015,Huron-Kinloss,94,57,96,88,84,38%,Ontario,Non-Aboriginal,6640
3541024,Kincardine,98,65,96,86,86,29%,Ontario,Non-Aboriginal,10980
3541032,Brockton,90,56,96,86,82,39%,Ontario,Non-Aboriginal,9225
3541043,Arran-Elderslie,89,57,93,88,82,38%,Ontario,Non-Aboriginal,6730
3541045,Saugeen Shores,100,66,97,83,86,35%,Ontario,Non-Aboriginal,12385
3541055,South Bruce Peninsula,86,58,95,82,80,40%,Ontario,Non-Aboriginal,8215
3541057,Saugeen 29,67,43,75,74,65,22%,Ontario,First Nation,725
3541060,Neyaashiinigmiing 27,63,55,79,80,69,33%,Ontario,First Nation,535
3541069,Northern Bruce Peninsula,90,60,96,77,81,26%,Ontario,Non-Aboriginal,3675
3542004,West Grey,85,57,95,87,81,47%,Ontario,Non-Aboriginal,12020
3542005,Southgate,82,54,93,89,80,49%,Ontario,Non-Aboriginal,7190
3542015,Grey Highlands,85,59,93,87,81,44%,Ontario,Non-Aboriginal,9420
3542029,Hanover,86,52,96,85,80,36%,Ontario,Non-Aboriginal,7110
3542037,Chatsworth,84,59,93,88,81,47%,Ontario,Non-Aboriginal,6345
3542045,The Blue Mountains,98,73,98,83,88,37%,Ontario,Non-Aboriginal,6345
3542047,Meaford,89,63,96,86,83,44%,Ontario,Non-Aboriginal,10805
3542053,Georgian Bluffs,91,59,97,87,83,40%,Ontario,Non-Aboriginal,10355
3542059,Owen Sound,86,58,95,84,81,21%,Ontario,Non-Aboriginal,20700
3543005,Clearview,88,63,95,87,83,42%,Ontario,Non-Aboriginal,13495
3543007,New Tecumseth,91,61,97,88,84,30%,Ontario,Non-Aboriginal,29690
3543009,Springwater,95,64,97,89,86,31%,Ontario,Non-Aboriginal,18120
3543014,Bradford West Gwillimbury,89,59,97,89,84,28%,Ontario,Non-Aboriginal,27720
3543015,Severn,89,60,95,86,83,39%,Ontario,Non-Aboriginal,12285
3543017,Innisfil,88,60,97,87,83,33%,Ontario,Non-Aboriginal,32965
3543019,Ramara,89,60,97,84,82,48%,Ontario,Non-Aboriginal,9240
3543021,Essa,90,61,95,89,84,32%,Ontario,Non-Aboriginal,17970
3543023,Oro-Medonte,96,67,97,88,87,38%,Ontario,Non-Aboriginal,20030
3543031,Collingwood,90,63,96,85,84,31%,Ontario,Non-Aboriginal,18630
3543042,Barrie,88,63,97,88,84,24%,Ontario,Non-Aboriginal,133240
3543050,Mnjikaning First Nation 32 (Rama First Nation 32),74,49,89,79,73,10%,Ontario,First Nation,865
3543052,Orillia,85,58,94,84,80,25%,Ontario,Non-Aboriginal,29500
3543064,Wasaga Beach,86,57,98,83,81,33%,Ontario,Non-Aboriginal,17400
3543068,Tiny,90,61,95,83,82,40%,Ontario,Non-Aboriginal,11135
3543071,Tay,86,58,95,83,81,45%,Ontario,Non-Aboriginal,9670
3543072,Penetanguishene,87,57,97,83,81,32%,Ontario,Non-Aboriginal,8465
3543074,Midland,85,58,96,83,81,29%,Ontario,Non-Aboriginal,16090
3544002,Gravenhurst,85,57,93,86,81,43%,Ontario,Non-Aboriginal,10510
3544018,Bracebridge,89,63,95,86,83,33%,Ontario,Non-Aboriginal,15010
3544042,Huntsville,88,61,94,87,82,41%,Ontario,Non-Aboriginal,18560
3544073,Moose Point 79,,,,,68,14%,Ontario,First Nation,220
3546005,Highlands East,83,52,94,79,77,44%,Ontario,Non-Aboriginal,3285
3546015,Minden Hills,91,56,93,81,80,48%,Ontario,Non-Aboriginal,5525
3547002,Arnprior,88,57,95,84,81,23%,Ontario,Non-Aboriginal,7835
3547003,McNab/Braeside,89,61,97,89,84,35%,Ontario,Non-Aboriginal,7340
3547020,"Brudenell, Lyndoch and Raglan",75,50,87,79,73,44%,Ontario,Non-Aboriginal,1515
3547043,Admaston/Bromley,83,64,93,92,83,48%,Ontario,Non-Aboriginal,2985
3547046,Horton,87,61,97,87,83,48%,Ontario,Non-Aboriginal,2720
3547048,Renfrew,82,56,95,80,78,39%,Ontario,Non-Aboriginal,7815
3547056,Whitewater Region,82,57,96,86,80,40%,Ontario,Non-Aboriginal,6755
3547064,Pembroke,85,57,94,85,80,28%,Ontario,Non-Aboriginal,13500
3547075,Laurentian Valley,90,60,97,86,83,30%,Ontario,Non-Aboriginal,9650
3547076,Petawawa,91,63,96,89,85,23%,Ontario,Non-Aboriginal,15455
3547090,Laurentian Hills,91,58,97,86,83,35%,Ontario,Non-Aboriginal,2745
3547096,Deep River,97,75,97,85,88,35%,Ontario,Non-Aboriginal,4205
3547098,"Head, Clara and Maria",,,,,71,29%,Ontario,Non-Aboriginal,220
3548013,Papineau-Cameron,81,54,88,78,75,47%,Ontario,Non-Aboriginal,975
3548019,Mattawan,,,,,85,48%,Ontario,Non-Aboriginal,120
3548021,Mattawa,78,51,87,73,72,46%,Ontario,Non-Aboriginal,1980
3548022,Calvin,85,60,70,78,73,47%,Ontario,Non-Aboriginal,565
3548031,Chisholm,82,47,89,81,75,40%,Ontario,Non-Aboriginal,1115
3548034,East Ferris,93,63,96,84,84,36%,Ontario,Non-Aboriginal,4370
3548044,North Bay,89,63,95,85,83,26%,Ontario,Non-Aboriginal,52440
3548055,West Nipissing / Nipissing Ouest,84,54,95,80,78,38%,Ontario,Non-Aboriginal,13870
3548069,Temagami,91,60,89,78,79,43%,Ontario,Non-Aboriginal,810
3548094,"Nipissing, Unorganized, North Part",88,56,92,82,79,50%,Ontario,Non-Aboriginal,1765
3549031,McDougall,92,62,97,82,84,40%,Ontario,Non-Aboriginal,2705
3549032,Parry Sound,85,54,94,84,79,34%,Ontario,Non-Aboriginal,5980
3549036,Carling,88,59,99,79,81,49%,Ontario,Non-Aboriginal,1220
3549039,Whitestone,82,56,95,75,77,48%,Ontario,Non-Aboriginal,850
3549043,Magnetawan,86,54,93,74,77,46%,Ontario,Non-Aboriginal,1485
3549046,Strong,88,58,93,78,79,45%,Ontario,Non-Aboriginal,1300
3549048,Sundridge,88,53,93,77,78,46%,Ontario,Non-Aboriginal,1020
3549054,Machar,85,57,93,82,79,34%,Ontario,Non-Aboriginal,920
3549060,Powassan,86,50,96,83,79,43%,Ontario,Non-Aboriginal,3250
3549066,Callander,95,67,99,84,86,40%,Ontario,Non-Aboriginal,3750
3549071,Nipissing,94,62,98,83,84,49%,Ontario,Non-Aboriginal,1790
3549072,Shawanaga 17,,,,,65,12%,Ontario,First Nation,210
3549073,Parry Island First Nation,71,52,74,77,68,13%,Ontario,First Nation,415
3549076,French River 13,,,,,66,18%,Ontario,First Nation,135
3549077,Dokis 9,,,,,72,13%,Ontario,First Nation,205
3549078,Magnetewan 1,,,,,69,19%,Ontario,First Nation,95
3549096,"Parry Sound, Unorganized, Centre Part",77,47,93,74,73,42%,Ontario,Non-Aboriginal,2155
3551001,Tehkummah,,,,,77,42%,Ontario,Non-Aboriginal,400
3551006,Central Manitoulin,84,59,95,79,79,47%,Ontario,Non-Aboriginal,1950
3551011,Assiginack,83,54,96,81,79,44%,Ontario,Non-Aboriginal,910
3551017,Northeastern Manitoulin and the Islands,88,61,95,86,83,47%,Ontario,Non-Aboriginal,2685
3551027,Gordon/Barrie Island,85,64,92,88,82,45%,Ontario,Non-Aboriginal,520
3551028,Burpee and Mills,83,54,95,88,80,39%,Ontario,Non-Aboriginal,290
3551040,Whitefish River (Part) 4,69,55,86,81,73,17%,Ontario,First Nation,485
3551041,Sucker Creek 23,63,51,88,75,69,32%,Ontario,First Nation,495
3551042,Sheguiandah 24,,,,,67,3%,Ontario,First Nation,155
3551043,Wikwemikong Unceded,61,49,83,70,66,16%,Ontario,First Nation,2520
3551044,Sheshegwaning 20,,,,,67,11%,Ontario,First Nation,120
3551045,M'Chigeeng 22 (West Bay 22),65,53,81,75,69,16%,Ontario,First Nation,895
3551094,"Manitoulin, Unorganized, West Part",,,,,73,29%,Ontario,Non-Aboriginal,140
3552013,Markstay-Warren,85,52,88,83,77,48%,Ontario,Non-Aboriginal,2475
3552026,Espanola,89,58,94,81,80,21%,Ontario,Non-Aboriginal,5275
3552028,Baldwin,83,42,87,83,74,47%,Ontario,Non-Aboriginal,540
3552051,Whitefish Lake 6,75,50,79,77,70,11%,Ontario,First Nation,395
3552092,Chapleau,92,52,96,83,81,49%,Ontario,Non-Aboriginal,2065
3553005,Greater Sudbury / Grand Sudbury,91,61,95,85,83,28%,Ontario,Non-Aboriginal,157765
3553040,Wahnapitei 11,,,,,72,20%,Ontario,First Nation,105
3554001,Coleman,85,57,90,88,80,46%,Ontario,Non-Aboriginal,610
3554006,Latchford,72,22,96,80,68,48%,Ontario,Non-Aboriginal,385
3554014,Harris,100,60,94,84,84,38%,Ontario,Non-Aboriginal,535
3554020,Temiskaming Shores,86,55,96,80,79,30%,Ontario,Non-Aboriginal,10135
3554024,Kerns,74,53,88,92,77,49%,Ontario,Non-Aboriginal,360
3554029,Casey,79,58,96,98,83,39%,Ontario,Non-Aboriginal,370
3554034,Hilliard,,,,,75,45%,Ontario,Non-Aboriginal,200
3554049,Evanturel,93,52,95,85,81,48%,Ontario,Non-Aboriginal,445
3554056,Matachewan,75,47,84,72,70,42%,Ontario,Non-Aboriginal,265
3554057,Matachewan 72,,,,,73,41%,Ontario,First Nation,85
3554058,McGarry,82,51,95,73,75,39%,Ontario,Non-Aboriginal,340
3554068,Kirkland Lake,89,56,94,83,80,39%,Ontario,Non-Aboriginal,7905
3556014,Black River-Matheson,87,53,90,80,78,44%,Ontario,Non-Aboriginal,2470
3556027,Timmins,91,55,94,86,81,31%,Ontario,Non-Aboriginal,42440
3556031,Iroquois Falls,89,50,93,79,78,31%,Ontario,Non-Aboriginal,4510
3556042,Cochrane,84,49,90,81,76,38%,Ontario,Non-Aboriginal,5295
3556048,Smooth Rock Falls,92,50,93,74,77,46%,Ontario,Non-Aboriginal,1340
3556052,Fauquier-Strickland,81,40,92,69,71,46%,Ontario,Non-Aboriginal,500
3556056,Moonbeam,91,46,92,79,77,42%,Ontario,Non-Aboriginal,1080
3556066,Kapuskasing,89,51,97,84,80,23%,Ontario,Non-Aboriginal,8060
3556070,Val Rita-Harty,86,53,93,87,80,42%,Ontario,Non-Aboriginal,830
3556073,Opasatika,,,,,67,0%,Ontario,Non-Aboriginal,170
3556076,Hearst,88,50,94,84,79,23%,Ontario,Non-Aboriginal,5010
3556077,Mattice-Val Côté,86,36,84,74,70,33%,Ontario,Non-Aboriginal,665
3556092,"Cochrane, Unorganized, North Part",89,48,92,80,77,46%,Ontario,Non-Aboriginal,3250
3556095,Constance Lake 92,54,22,81,56,53,48%,Ontario,First Nation,660
3556106,Moosonee,79,49,91,82,75,29%,Ontario,Non-Aboriginal,1735
3557006,Hilton Beach,,,,,80,33%,Ontario,Non-Aboriginal,95
3557014,Tarbutt and Tarbutt Additional,,,,,81,43%,Ontario,Non-Aboriginal,400
3557016,Johnson,79,38,89,89,74,35%,Ontario,Non-Aboriginal,655
3557019,Plummer Additional,90,65,94,80,82,43%,Ontario,Non-Aboriginal,650
3557021,Bruce Mines,83,53,97,77,78,41%,Ontario,Non-Aboriginal,545
3557026,Thessalon 12,,,,,67,12%,Ontario,First Nation,115
3557028,Thessalon,82,53,90,73,74,40%,Ontario,Non-Aboriginal,1170
3557035,Huron Shores,83,59,91,72,76,45%,Ontario,Non-Aboriginal,1715
3557038,Blind River,88,58,91,81,79,47%,Ontario,Non-Aboriginal,3495
3557040,The North Shore,93,63,91,81,82,40%,Ontario,Non-Aboriginal,505
3557041,Elliot Lake,83,55,94,71,76,36%,Ontario,Non-Aboriginal,11165
3557061,Sault Ste. Marie,88,61,95,83,82,28%,Ontario,Non-Aboriginal,73625
3557071,Sagamok,58,42,75,62,60,14%,Ontario,First Nation,1030
3557072,Serpent River 7,65,48,86,80,70,9%,Ontario,First Nation,365
3557073,Mississagi River 8,71,51,83,78,71,13%,Ontario,First Nation,390
3557074,Garden River 14,67,47,85,73,68,19%,Ontario,First Nation,1120
3557076,Wawa,87,57,91,86,80,37%,Ontario,Non-Aboriginal,2965
3557078,Gros Cap 49,,,,,69,29%,Ontario,First Nation,65
3557079,Dubreuilville,81,40,87,82,72,45%,Ontario,Non-Aboriginal,630
3557091,White River,89,46,96,85,79,40%,Ontario,Non-Aboriginal,620
3558001,Neebing,89,62,95,84,82,45%,Ontario,Non-Aboriginal,1985
3558003,Fort William 52,71,48,82,75,69,18%,Ontario,First Nation,860
3558004,Thunder Bay,89,61,95,84,82,25%,Ontario,Non-Aboriginal,105950
3558011,Oliver Paipoonge,92,64,96,84,84,29%,Ontario,Non-Aboriginal,5720
3558012,Gillies,87,58,87,94,81,45%,Ontario,Non-Aboriginal,475
3558016,O'Connor,89,63,89,89,83,49%,Ontario,Non-Aboriginal,675
3558019,Conmee,84,51,85,88,77,45%,Ontario,Non-Aboriginal,775
3558028,Shuniah,100,66,94,86,87,41%,Ontario,Non-Aboriginal,2700
3558034,Dorion,,,,,81,18%,Ontario,Non-Aboriginal,340
3558041,Red Rock,88,58,95,80,80,46%,Ontario,Non-Aboriginal,945
3558051,Schreiber,91,55,93,90,82,28%,Ontario,Non-Aboriginal,1125
3558054,Terrace Bay,90,59,98,82,82,47%,Ontario,Non-Aboriginal,1450
3558060,Pic Mobert North,,,,,58,45%,Ontario,First Nation,195
3558061,Pic Mobert South,,,,,58,26%,Ontario,First Nation,80
3558063,Pays Plat 51,,,,,58,24%,Ontario,First Nation,75
3558064,Lake Helen 53A,65,40,80,78,66,25%,Ontario,First Nation,305
3558067,Ginoogaming First Nation,,,,,61,14%,Ontario,First Nation,165
3558068,Long Lake 58,49,23,82,59,53,29%,Ontario,First Nation,385
3558069,Rocky Bay 1,,,,,63,29%,Ontario,First Nation,185
3558075,Greenstone,87,53,89,83,78,47%,Ontario,Non-Aboriginal,4680
3558076,Aroland 83,54,24,73,64,54,22%,Ontario,First Nation,325
3558080,Ojibway Nation of Saugeen (Savant Lake),,,,,58,21%,Ontario,First Nation,125
3558085,Osnaburgh 63A,,,,,38,1%,Ontario,First Nation,150
3558090,"Thunder Bay, Unorganized",91,56,92,78,79,34%,Ontario,Non-Aboriginal,5830
3558097,Whitesand,54,13,68,65,50,36%,Ontario,First Nation,260
3559001,Atikokan,86,56,89,82,78,45%,Ontario,Non-Aboriginal,2755
3559011,Alberton,94,68,94,90,86,34%,Ontario,Non-Aboriginal,645
3559012,Fort Frances,90,59,93,85,82,29%,Ontario,Non-Aboriginal,7775
3559016,La Vallee,88,62,97,85,83,49%,Ontario,Non-Aboriginal,985
3559026,Manitou Rapids 11,53,45,85,74,64,19%,Ontario,First Nation,315
3559040,Dawson,83,49,96,88,79,48%,Ontario,Non-Aboriginal,560
3559051,Big Grassy River 35G,,,,,66,17%,Ontario,First Nation,245
3559053,Saug-a-Gaw-Sing 1,,,,,67,37%,Ontario,First Nation,115
3559060,Neguaguon Lake 25D,,,,,62,20%,Ontario,First Nation,190
3559061,Rainy Lake 18C,,,,,65,2%,Ontario,First Nation,95
3559063,Couchiching 16A,66,48,91,74,70,26%,Ontario,First Nation,795
3559064,Rainy Lake 26A,,,,,64,14%,Ontario,First Nation,165
3559066,Seine River 23A,51,30,72,68,55,27%,Ontario,First Nation,275
3559068,Rainy Lake 17A,,,,,60,7%,Ontario,First Nation,215
3560001,Ignace,81,51,91,76,75,45%,Ontario,Non-Aboriginal,1330
3560004,Whitefish Bay 32A,55,40,66,77,59,13%,Ontario,First Nation,675
3560005,Whitefish Bay 33A,,,,,49,19%,Ontario,First Nation,80
3560010,Kenora,90,60,93,86,82,32%,Ontario,Non-Aboriginal,14990
3560024,Eagle Lake 27,,,,,65,11%,Ontario,First Nation,225
3560027,Dryden,91,58,93,86,82,25%,Ontario,Non-Aboriginal,7450
3560032,Ear Falls,86,54,96,83,80,32%,Ontario,Non-Aboriginal,985
3560034,Sioux Lookout,91,60,96,90,84,47%,Ontario,Non-Aboriginal,4960
3560042,Red Lake,98,60,92,90,85,46%,Ontario,Non-Aboriginal,4535
3560046,Slate Falls,,,,,59,13%,Ontario,First Nation,185
3560049,Pickle Lake,92,57,83,89,80,45%,Ontario,Non-Aboriginal,425
3560052,Marten Falls 65,,,,,52,36%,Ontario,First Nation,190
3560054,Cat Lake 63C,42,23,52,68,46,20%,Ontario,First Nation,485
3560055,Osnaburgh 63B,52,15,32,63,41,7%,Ontario,First Nation,425
3560056,Lac Seul 28,62,27,72,75,59,8%,Ontario,First Nation,875
3560057,Wabigoon Lake 27,,,,,66,9%,Ontario,First Nation,180
3560058,English River 21,53,25,58,68,51,11%,Ontario,First Nation,640
3560061,Wabaseemoong,53,19,51,66,47,13%,Ontario,First Nation,870
3560063,Sabaskong Bay 35D,58,46,61,81,61,8%,Ontario,First Nation,385
3560064,Shoal Lake 34B2,,,,,58,3%,Ontario,First Nation,95
3560066,Kenora 38B,57,35,78,73,61,14%,Ontario,First Nation,395
3560068,Shoal Lake (Part) 39A,55,36,65,74,58,15%,Ontario,First Nation,385
3560070,Deer Lake,51,12,47,71,45,33%,Ontario,First Nation,790
3560075,Kitchenuhmaykoosib Aaki 84 (Big Trout Lake),54,15,63,70,50,21%,Ontario,First Nation,905
3560078,Fort Severn 89,58,22,50,75,51,9%,Ontario,First Nation,330
3560080,North Spirit Lake,51,13,67,73,51,16%,Ontario,First Nation,265
3560082,Shoal Lake (Part) 40,,,,,52,13%,Ontario,First Nation,105
3560083,Whitefish Bay 34A,,,,,65,10%,Ontario,First Nation,125
3560084,Wabauskang 21,,,,,67,13%,Ontario,First Nation,75
3560088,Wapekeka 2,51,22,72,73,55,7%,Ontario,First Nation,370
3560089,The Dalles 38C,,,,,54,31%,Ontario,First Nation,195
3560090,"Kenora, Unorganized",93,60,93,83,82,46%,Ontario,Non-Aboriginal,6555
3560097,Muskrat Dam Lake,59,27,82,87,64,23%,Ontario,First Nation,260
3560104,Kee-Way-Win,55,18,55,73,50,9%,Ontario,First Nation,340
4601046,Whitemouth,80,48,96,88,78,42%,Manitoba,Non-Aboriginal,1420
4601051,Pinawa,96,70,99,81,87,36%,Manitoba,Non-Aboriginal,1470
4601057,Lac du Bonnet,89,53,97,76,78,45%,Manitoba,Non-Aboriginal,2370
4601070,Buffalo Point 36,,,,,82,20%,Manitoba,First Nation,160
4601075,Powerview-Pine Falls,84,53,93,91,80,48%,Manitoba,Non-Aboriginal,1295
4601078,Victoria Beach,93,72,94,83,85,37%,Manitoba,Non-Aboriginal,375
4602025,Franklin,77,46,90,90,76,39%,Manitoba,Non-Aboriginal,1615
4602027,Roseau River 2,37,34,48,52,43,34%,Manitoba,First Nation,590
4602032,De Salaberry,83,52,95,91,80,44%,Manitoba,Non-Aboriginal,2960
4602037,St-Pierre-Jolys,79,58,85,86,77,34%,Manitoba,Non-Aboriginal,1105
4602041,Hanover,78,46,92,89,76,37%,Manitoba,Non-Aboriginal,13935
4602044,Steinbach,82,54,94,89,80,26%,Manitoba,Non-Aboriginal,13185
4602046,Niverville,82,57,97,92,82,49%,Manitoba,Non-Aboriginal,3450
4602053,La Broquerie,75,51,92,89,77,44%,Manitoba,Non-Aboriginal,5200
4602061,Ste. Anne,86,57,94,88,81,47%,Manitoba,Non-Aboriginal,1525
4602069,Taché,86,62,94,91,83,30%,Manitoba,Non-Aboriginal,10255
4602075,Ritchot,90,62,96,91,85,24%,Manitoba,Non-Aboriginal,5460
4603030,Montcalm,79,63,97,92,83,48%,Manitoba,Non-Aboriginal,1210
4603033,Emerson,86,50,98,77,78,46%,Manitoba,Non-Aboriginal,655
4603040,Altona,83,49,93,88,79,41%,Manitoba,Non-Aboriginal,3925
4603047,Stanley,67,44,90,88,72,48%,Manitoba,Non-Aboriginal,8330
4603050,Winkler,77,44,96,89,76,33%,Manitoba,Non-Aboriginal,10490
4603053,Morden,82,55,95,88,80,35%,Manitoba,Non-Aboriginal,7665
4603058,Thompson,79,50,97,89,79,44%,Manitoba,Non-Aboriginal,1080
4603065,Morris,77,47,95,82,75,43%,Manitoba,Non-Aboriginal,2855
4603067,Morris,84,52,95,86,79,46%,Manitoba,Non-Aboriginal,1750
4603072,Dufferin,83,49,94,91,79,48%,Manitoba,Non-Aboriginal,2205
4603074,Carman,83,55,94,90,81,33%,Manitoba,Non-Aboriginal,3055
4604035,Manitou,80,54,97,88,79,42%,Manitoba,Non-Aboriginal,775
4604039,Louise,86,64,93,93,84,48%,Manitoba,Non-Aboriginal,755
4604044,Pilot Mound,94,56,96,89,84,43%,Manitoba,Non-Aboriginal,580
4604046,Crystal City,96,63,96,91,87,36%,Manitoba,Non-Aboriginal,380
4604051,Roblin,76,50,96,90,78,44%,Manitoba,Non-Aboriginal,685
4604068,Swan Lake  7,50,29,78,71,57,5%,Manitoba,First Nation,335
4605031,Morton,92,64,83,94,83,46%,Manitoba,Non-Aboriginal,545
4605037,Winchester,84,50,97,98,82,48%,Manitoba,Non-Aboriginal,510
4605039,Deloraine,89,45,96,92,80,40%,Manitoba,Non-Aboriginal,895
4605043,Brenda,81,40,96,84,75,43%,Manitoba,Non-Aboriginal,465
4605047,Waskada,,,,,79,36%,Manitoba,Non-Aboriginal,185
4605058,Albert,83,53,96,86,79,36%,Manitoba,Non-Aboriginal,325
4605061,Cameron,80,57,93,99,82,33%,Manitoba,Non-Aboriginal,325
4605063,Hartney,82,55,81,89,77,25%,Manitoba,Non-Aboriginal,380
4605067,Whitewater,89,61,93,98,85,38%,Manitoba,Non-Aboriginal,550
4605070,Riverside,82,50,97,90,80,38%,Manitoba,Non-Aboriginal,640
4605076,Strathcona,80,53,90,91,79,50%,Manitoba,Non-Aboriginal,640
4606015,Sifton,78,55,93,94,80,33%,Manitoba,Non-Aboriginal,835
4606018,Oak Lake,81,48,92,87,77,24%,Manitoba,Non-Aboriginal,385
4606023,Pipestone,84,45,97,91,79,41%,Manitoba,Non-Aboriginal,1415
4606028,Wallace,83,51,89,90,78,47%,Manitoba,Non-Aboriginal,1320
4606029,Canupawakpa Dakota First Nation (Oak Lake 59),45,27,74,64,52,26%,Manitoba,First Nation,285
4606030,Elkhorn,86,50,96,88,80,17%,Manitoba,Non-Aboriginal,445
4606034,Virden,88,57,95,92,83,28%,Manitoba,Non-Aboriginal,3000
4606037,Woodworth,80,48,89,97,78,47%,Manitoba,Non-Aboriginal,860
4607038,South Cypress,85,54,91,89,80,30%,Manitoba,Non-Aboriginal,495
4607041,Glenboro,85,55,96,91,82,40%,Manitoba,Non-Aboriginal,620
4607045,Oakland,93,66,89,89,84,43%,Manitoba,Non-Aboriginal,940
4607047,Wawanesa,84,58,94,91,82,26%,Manitoba,Non-Aboriginal,535
4607053,Souris,85,55,96,88,81,47%,Manitoba,Non-Aboriginal,1770
4607057,Whitehead,86,65,93,93,84,46%,Manitoba,Non-Aboriginal,1515
4607060,Cornwallis,88,61,95,92,84,24%,Manitoba,Non-Aboriginal,4300
4607062,Brandon,88,62,95,89,83,23%,Manitoba,Non-Aboriginal,44890
4607065,North Cypress,92,49,92,86,80,35%,Manitoba,Non-Aboriginal,1395
4607071,Elton,86,65,96,94,85,48%,Manitoba,Non-Aboriginal,1275
4607075,Daly,83,53,90,93,80,44%,Manitoba,Non-Aboriginal,755
4607077,Rivers,79,57,96,90,81,32%,Manitoba,Non-Aboriginal,1255
4608033,Notre Dame de Lourdes,83,63,97,97,85,40%,Manitoba,Non-Aboriginal,635
4608038,Treherne,86,56,91,86,79,37%,Manitoba,Non-Aboriginal,590
4608042,Victoria,81,49,98,93,80,38%,Manitoba,Non-Aboriginal,1075
4608045,North Norfolk,74,48,94,91,77,48%,Manitoba,Non-Aboriginal,2470
4608048,MacGregor,82,47,93,90,78,20%,Manitoba,Non-Aboriginal,935
4608069,Sandy Bay 5,31,15,47,54,37,15%,Manitoba,First Nation,2510
4608072,Glenella,66,28,81,91,67,32%,Manitoba,Non-Aboriginal,410
4609017,Grey,80,49,92,92,78,45%,Manitoba,Non-Aboriginal,1850
4609020,St. Claude,80,56,89,92,79,33%,Manitoba,Non-Aboriginal,555
4609024,Portage la Prairie,86,54,93,88,80,48%,Manitoba,Non-Aboriginal,5375
4609025,Long Plain (Part) 6,34,26,74,57,48,7%,Manitoba,First Nation,1115
4609026,Dakota Plains 6A,,,,,54,32%,Manitoba,First Nation,110
4609027,Dakota Tipi 1,,,,,50,14%,Manitoba,First Nation,160
4609029,Portage la Prairie,85,55,95,88,81,29%,Manitoba,Non-Aboriginal,12395
4610035,Macdonald,91,68,95,91,86,31%,Manitoba,Non-Aboriginal,6195
4610043,Cartier,90,66,93,91,85,45%,Manitoba,Non-Aboriginal,1940
4610052,St. François Xavier,93,66,95,94,87,23%,Manitoba,Non-Aboriginal,1205
4611040,Winnipeg,88,65,92,88,83,21%,Manitoba,Non-Aboriginal,650000
4611042,Headingley,100,67,98,90,89,20%,Manitoba,Non-Aboriginal,2550
4612047,Springfield,91,63,96,90,85,29%,Manitoba,Non-Aboriginal,13710
4612056,Beausejour,86,48,97,89,80,21%,Manitoba,Non-Aboriginal,3005
4613032,East St. Paul,100,71,97,89,89,24%,Manitoba,Non-Aboriginal,9050
